timestamp=0.262168,25=1
timestamp=0.262434,2D0=1
timestamp=0.263258,22=1
timestamp=0.263483,23=1
timestamp=0.267747,B0=1
timestamp=0.267973,B2=1
timestamp=0.270631,2C1=1
timestamp=0.272659,340=1
timestamp=0.273719,20=1
timestamp=0.273965,223=1
timestamp=0.274203,25=1
timestamp=0.274451,B4=1
timestamp=0.274692,420=1
timestamp=0.275312,22=1
timestamp=0.275534,23=1
timestamp=0.277808,2C4=1
timestamp=0.278052,2C6=1
timestamp=0.279822,B0=1
timestamp=0.280074,224=1
timestamp=0.280282,B2=1
timestamp=0.280533,3B2=1
timestamp=0.285806,20=1
timestamp=0.286075,B4=1
timestamp=0.286313,25=1
timestamp=0.287399,22=1
timestamp=0.287619,23=1
timestamp=0.291891,B0=1
timestamp=0.292043,320=1
timestamp=0.292251,B2=1
timestamp=0.294193,2D0=1
timestamp=0.297855,20=1
timestamp=0.298101,223=1
timestamp=0.298340,25=1
timestamp=0.298588,B4=1
timestamp=0.299454,22=1
timestamp=0.299676,23=1
timestamp=0.301344,2C4=1
timestamp=0.302378,2C1=1
timestamp=0.303928,B0=1
timestamp=0.304180,224=1
timestamp=0.304388,B2=1
timestamp=0.309538,2C6=1
timestamp=0.309872,20=1
timestamp=0.310140,B4=1
timestamp=0.310378,25=1
timestamp=0.311468,22=1
timestamp=0.311692,23=1
timestamp=0.315950,B0=1
timestamp=0.316177,B2=1
timestamp=0.320794,340=1
timestamp=0.321898,20=1
timestamp=0.322144,223=1
timestamp=0.322393,B4=1
timestamp=0.322631,25=1
timestamp=0.323497,22=1
timestamp=0.323717,23=1
timestamp=0.324903,2C4=1
timestamp=0.325919,2D0=1
timestamp=0.327981,B0=1
timestamp=0.328233,224=1
timestamp=0.328442,B2=1
timestamp=0.333938,20=1
timestamp=0.334176,2C1=1
timestamp=0.334424,B4=1
timestamp=0.334662,25=1
timestamp=0.335538,22=1
timestamp=0.335760,23=1
timestamp=0.340090,B0=1
timestamp=0.340242,320=1
timestamp=0.340451,B2=1
timestamp=0.341291,2C6=1
timestamp=0.346069,20=1
timestamp=0.346315,223=1
timestamp=0.346553,25=1
timestamp=0.346801,B4=1
timestamp=0.347657,22=1
timestamp=0.347881,23=1
timestamp=0.348437,2C4=1
timestamp=0.352161,B0=1
timestamp=0.352413,224=1
timestamp=0.352622,B2=1
timestamp=0.357673,2D0=1
timestamp=0.358105,20=1
timestamp=0.358374,B4=1
timestamp=0.359028,25=1
timestamp=0.359698,22=1
timestamp=0.359918,23=1
timestamp=0.364186,B0=1
timestamp=0.364412,B2=1
timestamp=0.365854,4C7=1
